序号,歌名,歌名翻译,原唱,日期,备注,语言,次数,歌切
1,南风过隙,,慕九杉,2025/03/01，2025/04/01，2025/04/17，2025/04/29，2025/05/30，2025/08/02，2025/08/21，2025/09/18，2025/09/19，2025/09/28，2025/10/16，2025/11/14，2025/12/12，2026/1/23,,华语,14,BV1Z1u9z9E4q
2,Love 2000,,遠野ひかる,2025/03/01，2025/03/15，2025/04/01，2025/04/15，2025/04/26，2025/05/09，2025/05/30，2025/06/08，2025/07/05，2025/07/11，2025/08/13，2025/09/17，2025/09/02，2025/09/07，2025/09/19，2025/10/01，2025/10/09，2025/10/16，2025/10/24，2025/10/30，2025/11/9，2025/11/14，2025/12/24，2025/12/26，2026/1/24,,日语,25,BV1mm7KzxEGj，BV12yM2z7EfT
3,POP/STARS,,K/DA/Madison Beer/曺薇娟 (미연)/Jaira Burns,2025/03/02，2025/03/29，2025/05/06，2025/05/30，2025/06/28，2025/09/04，2025/09/18，2025/11/7，2026/1/14，2026/1/24,,英语,10,BV1V7KUzoE22
4,Die For You,为你而战,无畏契约/Grabbitz,2025/03/02，2025/03/25，2025/03/28，2025/04/17，2025/05/03，2025/05/09，2025/05/16，2025/05/30，2025/06/14，2025/06/19，2025/07/05，2025/07/18，2025/08/21，2025/08/25，2025/09/05，2025/09/22，2025/09/26，2026/1/19，2026/1/21,,英语,19,BV1EVGdzNEe7
5,凑热闹,,BY2,2025/03/02，2025/03/29，2025/04/11，2025/04/17，2025/04/26，2025/05/04，2025/05/09，2025/05/17，2025/05/24，2025/06/02，2025/06/20，2025/06/27，2025/07/11，2025/07/21，2025/07/26，2025/08/08，2025/08/29，2025/09/02，2025/10/03，2025/10/09，2025/10/22，2025/11/9，2025/12/11，2026/1/15,,华语,24,BV1a67QzZENo
6,Ditto,,NewJeans,2025/03/02，2025/03/14，2025/03/28，2025/04/17，2025/04/25，2025/05/12，2025/05/12，2025/05/18，2025/05/29，2025/06/02，2025/06/05，2025/06/12，2025/06/27，2025/07/10，2025/08/04，2025/08/08，2025/08/21，2025/08/28，2025/09/10，2025/09/22，2025/09/30，2025/10/12，2025/11/17，2025/12/2，2025/12/31,,韩语,25,BV1df7RzGEDY
7,丸ノ内サディスティック,丸之内虐待狂,椎名林檎,2025/03/03，2025/03/21，2025/04/17，2025/04/21，2025/05/12，2025/05/26，2025/05/30，2025/06/26，2025/07/07，2025/07/13，2025/07/26，2025/08/12，2025/08/22，2025/09/19，2025/10/03，2025/10/28，2025/11/9，2025/11/19，2025/12/16,,日语,19,BV1UDXCYGEWL
8,爱要坦荡荡,,萧萧,2025/03/03，2025/04/20，2025/06/16，2025/06/27，2025/07/31，2025/10/05，2025/11/7，2025/12/4,,华语,8,BV1pbEuzFEaX
9,水星记,,郭顶,2025/03/03，2025/04/04，2025/04/14，2025/04/20，2025/04/24，2025/05/09，2025/05/18，2025/05/29，2025/06/06，2025/08/01，2025/09/21，2025/10/10，2025/11/28，2025/12/30,,华语,14,BV1hHTuzyEge
10,囚鸟,,G.E.M. 邓紫棋,2025/03/03，2025/04/17，2025/06/02，2025/07/07，2025/07/14，2025/08/07，2025/09/04，2025/09/29，2025/11/7，2025/12/5,,华语,10,BV11D7SzVE7W
11,HAVE A NICE DAY,,魏如萱,2025/03/03，2025/03/25，2025/04/03，2025/04/07，2025/04/18，2025/04/24，2025/05/04，2025/05/12，2025/05/16，2025/05/19，2025/05/30，2025/06/02，2025/06/09，2025/06/13，2025/07/05，2025/07/14，2025/07/21，2025/07/28，2025/08/29，2025/09/04，2025/09/07，2025/10/05，2025/10/10，2025/10/22，2025/11/10，2025/12/7，2025/12/31，2026/1/14，2026/1/19,,华语,29,BV192j6zcEWE，BV1Sr7SzJEij
12,カタオモイ,单相思,Aimer,2025/03/04，2025/03/12，2025/03/17，2025/03/28，2025/04/07，2025/04/19，2025/04/26，2025/05/06，2025/05/16，2025/05/22，2025/05/30，2025/06/21，2025/07/06，2025/08/22，2025/09/06，2025/09/21，2025/10/23，2025/11/10，2025/11/13，2025/12/4，2026/1/24，2026/1/24,,日语,22,BV1XuN1zkEcp，BV14GQxYHEoV
13,苏州河,,薛凯琪,2025/03/04，2025/03/19，2025/04/14，2025/04/22，2025/05/01，2025/05/13，2025/05/19，2025/05/27，2025/06/03，2025/06/12，2025/06/19，2025/06/27，2025/07/08，2025/07/14，2025/07/18，2025/07/20，2025/08/02，2025/08/08，2025/08/12，2025/09/02，2025/09/18，2025/10/01，2025/10/03，2025/10/11，2025/10/24，2025/11/13，2025/11/14，2025/11/28，2025/12/7，2025/12/17，2026/1/19,,华语,31,
14,下雨天,,南拳妈妈,2025/03/04，2025/04/04，2025/04/18，2025/05/25，2025/05/26，2025/06/06，2025/06/13，2025/09/04，2025/09/17，2025/10/09，2025/10/28，2026/1/10，2026/1/24,,华语,13,BV1FSjUzwEfm
15,Way Back Home,,SHAUN,2025/03/04，2025/04/03，2025/04/17，2025/05/22，2025/06/03，2025/07/24，2025/08/12，2025/09/03，2025/10/10，2025/11/9，2025/11/10,,韩语,11,BV1to7YzNEdz
16,一格格,,卫兰,2025/03/04，2025/04/02，2025/04/17，2025/04/29，2025/05/12，2025/05/27，2025/06/10，2025/07/05，2025/08/10，2025/08/28，2025/09/05，2025/09/18，2025/11/12，2025/11/28，2026/1/9,,粤语,15,BV13mfTYcEWn
17,免我蹉跎苦,,黄龄,2025/03/04，2025/05/18，2025/07/26，2025/10/24,,华语,4,BV1huJVzpEL6
18,小情歌,,苏打绿,2025/03/04，2025/04/29，2025/05/20，2025/07/13，2025/07/25，2025/07/31，2025/10/09，2025/12/2，2026/1/9,,华语,9,BV1Ap9JYMECR
19,爱如潮水,,张信哲,2025/03/04，2025/04/18，2025/05/23，2025/07/24，2025/08/28，2025/09/05,,华语,6,BV1Ur57zEEs2
20,虚拟,,陈粒,2025/03/04，2025/04/14，2025/04/24，2025/05/19，2025/08/21，2025/09/06，2025/09/17，2025/09/26，2025/10/01，2025/11/9，2025/12/16,,华语,11,BV1oco7YsEGk
21,当你,,王心凌,2025/03/04，2025/05/09，2025/05/29，2025/06/28，2025/08/08，2025/08/21，2025/09/15，2025/10/24，2025/12/17，2026/1/15,,华语,10,BV1MR5GzNEck
22,孤雏,,AGA,2025/03/04，2025/05/01，2025/05/08，2025/05/26，2025/06/05，2025/06/23，2025/06/26，2025/07/03，2025/07/20，2025/07/26，2025/08/03，2025/08/12，2025/08/30，2025/09/21，2025/09/29，2025/11/9，2025/11/12，2025/11/27，2025/12/4，2026/1/22,,粤语,20,BV1jHT4zBEBW
23,世界上的另一个我,,阿肆/郭采洁,2025/03/04，2025/04/14，2025/05/09，2025/06/13，2025/06/19，2025/06/27，2025/07/10，2025/09/10，2025/09/19，2025/11/14，2025/12/31,,华语,11,BV1r4oLYfEjE
24,永不失联的爱,,单依纯,2025/03/04，2025/03/30，2025/05/01，2025/05/26，2025/06/17，2025/08/03，2025/09/26，2025/10/26,,华语,8,BV1ssE8zWEaZ
25,蝴蝶,,陶喆,2025/03/04，2025/04/07，2025/05/29，2025/06/06，2025/06/19，2025/06/26，2025/07/10，2025/07/11，2025/07/14，2025/08/02，2025/09/03，2025/09/26，2025/10/03，2025/11/9，2025/11/24，2025/11/26，2026/1/5,,华语,17,BV11K7LzLErv
